sqft,bedrooms,bathrooms,property_type,state,city_type,cleaning_type,frequency,cleaning_rate
1046.3090571964376,2,2.3,house,FL,medium_city,basic,weekly,109.63818896457148
2137.351836122131,5,4.4,apartment,WA,small_city,basic,monthly,228.2012289977924
1586.6862007124519,2,1.7,apartment,CA,small_city,basic,weekly,223.26178795507633
1568.6651801486687,4,3.7,house,CA,medium_city,basic,weekly,217.91776564086766
2306.891187445028,3,3.6,condo,WA,rural,basic,monthly,289.3981764684679
2962.2699920499904,1,1.0,condo,FL,medium_city,basic,weekly,295.8381898072945
2142.2979977033656,3,2.5,house,FL,small_city,post_construction,weekly,392.4868518876548
1016.5482266847224,2,2.1,apartment,TX,medium_city,basic,one_time,102.35832344934082
1217.3625935769646,5,4.2,house,NY,small_city,basic,one_time,174.6732287722119
3382.4952537013037,1,1.0,house,TX,small_city,deep,one_time,400.0
600.1698294614157,4,3.7,house,FL,medium_city,basic,one_time,100.0
1731.8684507199519,4,4.3,house,WA,small_city,basic,one_time,282.82791873803615
1960.593849805694,2,2.3,house,NY,medium_city,basic,one_time,333.4811722330494
2403.8726981759455,2,1.9,condo,FL,medium_city,basic,one_time,279.0353354798984
2988.5320619672484,1,1.0,house,TX,medium_city,post_construction,weekly,400.0
2420.499174537747,4,3.4,house,CA,medium_city,deep,monthly,616.9967484145177
1378.460020496895,5,5.1,condo,NY,rural,basic,one_time,221.21252145401556
2148.715158291196,2,1.8,house,TX,small_city,basic,weekly,190.4366431714985
2244.984764111481,4,4.1,apartment,FL,rural,deep,weekly,338.0763745334818
1985.812545879446,4,3.5,house,CA,major_metro,basic,weekly,404.60983355234373
1554.6216015546618,1,1.0,house,NY,large_city,basic,monthly,338.5403643312893
1504.1791136081647,7,7.2,house,FL,rural,basic,weekly,138.43429675962696
2679.3421154651905,4,3.7,apartment,NY,small_city,basic,monthly,379.65273104485794
2476.448378717261,6,5.1,apartment,CA,medium_city,deep,one_time,554.4125532468324
1529.5396685339094,5,4.6,condo,NY,major_metro,deep,one_time,469.02205618972533
2613.7649987604927,1,1.0,house,WA,major_metro,basic,weekly,367.0562179819218
500.0,4,3.2,house,NY,medium_city,post_construction,weekly,139.0858809646092
500.0,3,3.5,apartment,FL,medium_city,basic,one_time,100.0
3249.8326692618834,2,1.7,house,CA,rural,basic,weekly,478.582607979104
2164.35858775374,3,3.0,apartment,NY,large_city,basic,weekly,317.44569621448096
3449.5694093671964,3,3.3,apartment,WA,small_city,deep,one_time,600.0
2335.0750295872153,3,2.5,condo,NY,small_city,basic,one_time,349.99653858845573
2272.9159616583925,2,2.2,house,WA,major_metro,basic,weekly,335.1097062633919
2309.4732384396025,7,6.6,condo,CA,medium_city,basic,monthly,358.08657928240297
1538.8589991736515,1,1.0,house,WA,rural,basic,weekly,133.9656600249716
500.0,4,3.9,apartment,NY,medium_city,basic,monthly,120.0
1455.315377557967,3,3.6,apartment,CA,large_city,basic,weekly,283.3371788303205
2941.942781151506,2,2.2,house,NY,medium_city,basic,one_time,595.2188857018476
2033.364227767311,1,1.1,house,NY,small_city,deep,weekly,371.87949189119377
929.6555188851639,3,3.4,house,WA,rural,basic,weekly,110.0
2966.7056867791243,1,1.0,house,NY,small_city,basic,weekly,353.0851598225989
1859.5159697468064,2,1.8,apartment,NY,rural,basic,one_time,203.2289782576206
1174.8467791765233,4,3.7,house,FL,small_city,basic,one_time,139.37360213249798
3006.176386013453,4,4.2,apartment,FL,small_city,deep,one_time,500.0
2629.1036072828647,4,4.0,house,TX,large_city,basic,one_time,399.73948029777176
1714.653976669807,5,4.1,condo,NY,small_city,basic,one_time,302.654505133415
2067.20923143037,1,1.0,house,CA,large_city,deep,weekly,597.1848427241567
1946.5067598287037,6,6.3,house,FL,small_city,basic,weekly,202.98254879999823
2810.2813014137046,4,4.4,house,NY,rural,basic,weekly,330.918977243039
2288.5196326994055,3,3.3,house,CA,medium_city,deep,one_time,628.8620670886121
3314.2679337942513,4,3.9,house,NY,medium_city,basic,one_time,700.0
2802.1220632261684,4,4.4,condo,FL,small_city,basic,one_time,302.7842849638778
2617.213287551318,4,4.3,house,CA,small_city,basic,one_time,510.9197417319298
1388.112383650803,1,1.2,condo,CA,rural,basic,monthly,220.22304858933143
3274.411381062362,6,5.9,house,WA,rural,basic,one_time,425.90211748111574
784.6259875983856,4,3.8,house,WA,large_city,basic,weekly,130.8269022922257
1628.835190801869,4,3.7,house,WA,rural,basic,weekly,180.25407406608198
1165.6067231066354,3,3.4,house,NY,medium_city,basic,one_time,192.90878021558967
2418.402657324715,2,1.9,house,WA,medium_city,basic,one_time,354.7030955362577
2383.513614123915,3,2.7,house,NY,major_metro,basic,weekly,471.2293636716891
2877.525737848375,5,6.0,condo,NY,major_metro,basic,monthly,689.4060367024714
679.9395332391694,3,3.4,apartment,FL,small_city,basic,one_time,100.0
1139.8166793602413,3,3.2,house,NY,small_city,basic,weekly,126.51049460563739
2233.657412155575,2,1.8,apartment,TX,medium_city,basic,weekly,169.78200583036988
1599.9276570225259,2,1.9,house,CA,medium_city,post_construction,monthly,639.5760157260926
